BAND,PCL,Average low TxPower,Average in range TxPower,Average high TxPower,PASS Count,FAIL Count
DCS1800, 0, NaN, 29.5, NaN, 10226, 0
DCS1800, 1, NaN, 27.5, NaN, 10226, 0
DCS1800, 2, NaN, 26, NaN, 10226, 0
DCS1800, 3, NaN, 24, NaN, 10226, 0
DCS1800, 4, NaN, 22, NaN, 10226, 0
DCS1800, 5, NaN, 20, NaN, 10226, 0
DCS1800, 6, NaN, 18, NaN, 10226, 0
DCS1800, 7, NaN, 16, NaN, 10226, 0
DCS1800, 8, NaN, 14, NaN, 10226, 0
DCS1800, 9, NaN, 12, NaN, 10226, 0
DCS1800, 10, NaN, 10, NaN, 10226, 0
DCS1800, 11, NaN, 8, NaN, 10226, 0
DCS1800, 12, NaN, 6.2, NaN, 10226, 0
DCS1800, 13, NaN, 4.1, NaN, 10226, 0
DCS1800, 14, NaN, 2.5, NaN, 10226, 0
DCS1800, 15, NaN, 0.3, NaN, 10226, 0
GSM850, 5, NaN, 32.5, NaN, 10226, 0
GSM850, 6, NaN, 30.5, NaN, 10226, 0
GSM850, 7, NaN, 29.1, NaN, 10226, 0
GSM850, 8, NaN, 27.1, NaN, 10226, 0
GSM850, 9, NaN, 25.1, NaN, 10226, 0
GSM850, 10, NaN, 23.1, NaN, 10226, 0
GSM850, 11, NaN, 21.1, NaN, 10226, 0
GSM850, 12, NaN, 19.1, NaN, 10226, 0
GSM850, 13, NaN, 17.1, NaN, 10225, 1
GSM850, 14, NaN, 15.1, NaN, 10226, 0
GSM850, 15, NaN, 13.1, NaN, 10226, 0
GSM850, 16, NaN, 11, NaN, 10226, 0
GSM850, 17, NaN, 9, NaN, 10226, 0
GSM850, 18, NaN, 7, NaN, 10226, 0
GSM850, 19, NaN, 5.1, NaN, 10226, 0
GSM900, 5, NaN, 32.5, NaN, 10226, 0
GSM900, 6, NaN, 30.5, NaN, 10226, 0
GSM900, 7, NaN, 29.1, NaN, 10226, 0
GSM900, 8, NaN, 27.1, NaN, 10226, 0
GSM900, 9, NaN, 25.1, NaN, 10226, 0
GSM900, 10, NaN, 23.1, NaN, 10226, 0
GSM900, 11, NaN, 21.1, NaN, 10226, 0
GSM900, 12, NaN, 19.1, NaN, 10226, 0
GSM900, 13, NaN, 17.1, NaN, 10226, 0
GSM900, 14, NaN, 15.1, NaN, 10226, 0
GSM900, 15, NaN, 13.1, NaN, 10226, 0
GSM900, 16, NaN, 11, NaN, 10226, 0
GSM900, 17, NaN, 9, NaN, 10226, 0
GSM900, 18, NaN, 7, NaN, 10226, 0
GSM900, 19, NaN, 5.1, NaN, 10226, 0
PCS1900, 0, NaN, 29.5, NaN, 10226, 0
PCS1900, 1, NaN, 27.4, NaN, 10226, 0
PCS1900, 2, NaN, 25.8, NaN, 10226, 0
PCS1900, 3, NaN, 24, NaN, 10226, 0
PCS1900, 4, NaN, 22, NaN, 10226, 0
PCS1900, 5, NaN, 20, NaN, 10226, 0
PCS1900, 6, NaN, 18, NaN, 10226, 0
PCS1900, 7, NaN, 16, NaN, 10226, 0
PCS1900, 8, NaN, 14, NaN, 10226, 0
PCS1900, 9, NaN, 12, NaN, 10226, 0
PCS1900, 10, NaN, 10, NaN, 10226, 0
PCS1900, 11, NaN, 7.9, NaN, 10226, 0
PCS1900, 12, NaN, 5.9, NaN, 10226, 0
PCS1900, 13, NaN, 3.9, NaN, 10226, 0
PCS1900, 14, NaN, 2.4, NaN, 10226, 0
PCS1900, 15, NaN, 0.2, NaN, 10226, 0
